program	os	interpreter	time
18	mac	python	6.98566436768e-05
18	mac	python	7.00950622559e-05
18	mac	python	7.10487365723e-05
18	mac	python	6.89029693604e-05
18	mac	python	6.91413879395e-05
18	mac	python	7.00950622559e-05
19	mac	python	0.000638961791992
19	mac	python	0.000638008117676
19	mac	python	0.000643968582153
19	mac	python	0.000638008117676
19	mac	python	0.000637054443359
19	mac	python	0.000637054443359
19	mac	python	0.000638008117676
19	mac	python	0.000639915466309
19	mac	python	0.000638008117676
19	mac	python	0.000638961791992
20	mac	python	0.000138998031616
20	mac	python	0.000136852264404
20	mac	python	0.000136852264404
20	mac	python	0.0001380443573
20	mac	python	0.0001380443573
20	mac	python	0.000137090682983
20	mac	python	0.000137805938721
20	mac	python	0.000137090682983
20	mac	python	0.000137090682983
20	mac	python	0.0001380443573
21	mac	python	0.0196471214294
21	mac	python	0.0197110176086
21	mac	python	0.0197458267212
21	mac	python	0.019767999649
21	mac	python	0.0197389125824
21	mac	python	0.0197269916534
21	mac	python	0.0197629928589
21	mac	python	0.020562171936
21	mac	python	0.0209040641785
21	mac	python	0.0225601196289
22	mac	python	0.0122919082642
22	mac	python	0.0122828483582
22	mac	python	0.0122821331024
22	mac	python	0.0122818946838
22	mac	python	0.0122790336609
22	mac	python	0.0122849941254
22	mac	python	0.0122818946838
22	mac	python	0.0122871398926
22	mac	python	0.0122818946838
22	mac	python	0.0122849941254
23	mac	python	4.17102384567
23	mac	python	4.15614914894
23	mac	python	4.16706299782
23	mac	python	4.1605091095
23	mac	python	4.15632987022
23	mac	python	4.16422200203
23	mac	python	4.15474486351
23	mac	python	4.16410899162
23	mac	python	4.17705702782
23	mac	python	4.15819597244
25	mac	python	0.0391619205475
25	mac	python	0.0405468940735
25	mac	python	0.0402209758759
25	mac	python	0.039186000824
25	mac	python	0.0391569137573
25	mac	python	0.039167881012
25	mac	python	0.0392100811005
25	mac	python	0.0400469303131
25	mac	python	0.0392639636993
25	mac	python	0.0392260551453
26	mac	python	0.0305118560791
26	mac	python	0.0305199623108
26	mac	python	0.0305461883545
26	mac	python	0.0305619239807
26	mac	python	0.0334310531616
26	mac	python	0.0304529666901
26	mac	python	0.0297191143036
26	mac	python	0.0297019481659
26	mac	python	0.0297038555145
26	mac	python	0.0297038555145
27	mac	python	1.52720403671
27	mac	python	1.53947091103
27	mac	python	1.5320789814
27	mac	python	1.52367210388
27	mac	python	1.53448104858
27	mac	python	1.52760195732
27	mac	python	1.5245718956
27	mac	python	1.52387309074
27	mac	python	1.52675914764
27	mac	python	1.52193379402
28	mac	python	0.000119924545288
28	mac	python	0.000118970870972
28	mac	python	0.000118970870972
28	mac	python	0.000119209289551
28	mac	python	0.000118970870972
28	mac	python	0.000118970870972
28	mac	python	0.000118970870972
28	mac	python	0.000118017196655
28	mac	python	0.000121116638184
28	mac	python	0.000118970870972
29	mac	python	0.0207901000977
29	mac	python	0.0207998752594
29	mac	python	0.0210721492767
29	mac	python	0.0207970142365
29	mac	python	0.0207891464233
